"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"GOOD air quality in the morning, smoke settling into the valley starting in the evening.","GOOD air quality in the morning, smoke settling into the valley starting in the evening.","Smoke lifting as the morning progresses.","","Calidad del aire BUENO en la mañana, humo asentándose en el valle a partir de la tarde.","Calidad del aire BUENO por la mañana, humo asentándose en el valle a partir de la tarde.","El humo se disipa a medida que avanza la mañana.",""
"Some haze possible","Some haze possible","","Rain will clear-out any remaining smoke over the weekend. ","Posible presencia de neblina.","Posible presencia de neblina.","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Smoke increasing in the evening hours and remaining through most of tomorrow.","","","Rain will clear-out any remaining smoke over the weekend.","El humo aumentará durante las horas de la tarde y permanecerá durante la mayor parte del día de mañana.","","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Periodic haze possible with conditions into MODERATE","Smoke increasing in the evening hours.","Smoke most of the day.","	Rain will clear-out any remaining smoke over the weekend.","Posible neblina periódica con condiciones en MODERADA","El humo aumenta en las horas de la tarde.","Humo durante la mayor parte del día.","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Overnight into early morning we will see smoke impacts to Christopher Creek area.","GOOD air Quality during the day with North winds switching to westerly 5-10 in the afternoon.","GOOD air quality today.","With increased fire activity we may see impacts of smoke late evening into early morning in the area.","Durante la noche hasta la madrugada veremos impactos de humo en el área de Christopher Creek.","Calidad del aire BUENA durante el día con vientos del norte cambiando a oeste de 5-10 por la tarde.","Calidad del aire BUENO hoy.","Con el aumento de la actividad de incendios, podríamos ver impactos del humo desde la tarde hasta la madrugada en la zona."
"Smoke will settle into Horton and Tonto Creek drainages with overnight and early morning MODERATE periods of smoke.","Smoke will settle in the area during the evening due to the cold temperatures and light winds.","Smoke will continue in the area until 10;00 clearing with SW-W winds 5-10mph.","With any increase in fire activity, we will continue to see smoke settling in the drainages in the evening, clearing by mid-morning.","El humo se asentará en las cuencas de Horton y Tonto Creek con períodos MODERADOS de humo durante la noche y la madrugada.","El humo se asentará en el área durante la tarde debido a las bajas temperaturas y los vientos ligeros.","El humo continuará en el área hasta las 10:00, despejándose con vientos del SO-O de 5-10 mph.","Con cualquier aumento en la actividad de incendios, continuaremos viendo humo asentándose en los drenajes por la noche, despejándose a media mañana."
"GOOD air quality will continue today","GOOD air quality today.","GOOD air quality continues today.","GOOD air quality to continue with southwest winds.","La calidad del aire BUENO continuará hoy.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continúa hoy.","La calidad del aire BUENO continuará con vientos del suroeste."
"GOOD air quality in the area today.","GOOD air quality Today.","GOOD air quality to continue.","GOOD air quality to continue with southwest winds.","Calidad del aire BUENO en la zona hoy.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continuará.","La calidad del aire BUENO continuará con vientos del suroeste."
"Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde."
"Light to moderate smoke overnight from local activity (fireplaces, firepits, etc.) ","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Humo ligero a moderado durante la noche debido a actividades locales (chimeneas, fogatas, etc.)","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"No smoke expected No smoke expected.","Light smoke possible overnight.","Light smoke possible overnight.","Light smoke possible overnight.","No se espera humo.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"GOOD air quality in the area to continue. Warmer temperatures and late afternoon clouds.","GOOD air quality in the area.","GOOD air quality in the area today.","Expected  thunderstorms to continue into the weekend.","La calidad del aire BUENA en el área continuará. Temperaturas más cálidas y nubes al final de la tarde.","Calidad del aire BUENA en el área. ","Calidad del aire BUENA en el área hoy.","Se espera que las tormentas continúen durante el fin de semana."
"GOOD air quality continues today with southeast winds.","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENA continúa hoy con vientos del sureste.","Calidad del aire BUENA hoy.","Calidad del aire BUENA hoy.","La calidad del aire BUENA continuará en el área."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","Calidad del aire BUENA en general continuará hoy.","Calidad del aire generalmente BUENA hoy.","Calidad del aire BUENA en el área con aumento de viento y lluvia.","Se desarrollarán tormentas eléctricas en el área durante todo el fin de semana."
"GOOD air quality to continue with southeast winds and warmer temperatures today.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENA continuará con vientos del sureste y temperaturas más cálidas hoy.","Calidad del aire BUENA en el área hoy.","Calidad del aire BUENA con tormentas eléctricas llegando al área.","La calidad del aire BUENA continuará en el área."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero a medida que los vientos del SE y las nubes se mueven hacia el área.","Calidad del aire BUENA en el área.","Calidad del aire BUENA en el área.","La calidad del aire BUENA continuará a medida que las tormentas eléctricas lleguen a la zona durante el fin de semana."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero en la zona a medida que los vientos del sureste y las nubes se mueven hacia el área.","Calidad del aire BUENO en el área.","Calidad del aire BUENO en el área.","La calidad del aire BUENO continuará a medida que las tormentas eléctricas lleguen a la zona durante el fin de semana."
"GOOD air quality continues today with rain in the area","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENO continúa hoy con lluvia en la zona.","Calidad del aire BUENO hoy.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continuará en la zona."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","Calidad del aire BUENO en general hoy continuará.","Calidad del aire generalmente BUENA hoy.","Calidad del aire BUENO en el área con aumento de viento y lluvia.","Se desarrollarán tormentas eléctricas en el área durante todo el fin de semana."
"GOOD air quality in the area to continue. Thunderstorms and rain in the area,","GOOD air quality in the area.","GOOD air quality in the area today.","Thunderstorms to continue through the weekend.","La calidad del aire BUENO en el área continuará. Tormentas eléctricas y lluvia en el área,","Calidad del aire BUENO en la zona.","Calidad del aire BUENO en el área hoy.","Las tormentas continuarán durante el fin de semana."
"GOOD air quality to continue with rain and thunderstorms in the area.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENO continuará con lluvia y tormentas en la zona.","Calidad del aire BUENO en el área hoy.","Calidad del aire BUENO con tormentas eléctricas moviéndose hacia la zona.","La calidad del aire BUENO continuará en la zona."
"GOOD air quality in the area to continue. Thunderstorms and rain in the area,","GOOD air quality in the area.","GOOD air quality in the area today.","Thunderstorms to continue through the weekend.","La calidad del aire BUENO en el área continuará. Tormentas y lluvias en el área,","Calidad del aire BUENO en el área.","Calidad del aire BUENO en la zona hoy.","Las tormentas continuarán durante el fin de semana."
"GOOD air quality continues today with rain in the area","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENO continúa hoy con lluvia en la zona.","Calidad del aire BUENO hoy.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continuará en la zona."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero en la zona a medida que los vientos del sureste y las nubes se mueven hacia el área.","Calidad del aire BUENO en la zona.","Calidad del aire BUENO en el área.","La calidad del aire BUENO continuará a medida que las tormentas eléctricas lleguen a la zona para el fin de semana."
"GOOD air quality will continue today with SW winds.","GOOD air quality today.","GOOD air quality continues today.","GOOD air quality to continue with southwest winds.","La calidad del aire BUENO continuará hoy con vientos del SO.","Calidad del aire BUENA hoy.","La calidad del aire BUENO continúa hoy.","La calidad del aire BUENO continuará con vientos del suroeste."
"Overnight into early morning we may see smoke impacts to Christopher Creek area.","GOOD air Quality during the day with S-SW winds 5-10 in the afternoon.","GOOD air quality today.","With increased fire activity we may see impacts of smoke late evening into early morning in the area.","Durante la noche hasta la madrugada, podríamos ver impactos de humo en el área de Christopher Creek.","Calidad del aire BUENO durante el día con vientos S-SO de 5-10 por la tarde.","Calidad del aire BUENO hoy.","Con el aumento de la actividad de incendios, podríamos ver impactos del humo desde la tarde hasta la mañana temprano en la zona."
"GOOD air quality in the area today with possible MODERATE smoke in the area late evening.","GOOD air quality Today.","GOOD air quality to continue.","GOOD air quality to continue with southwest winds.","Calidad del aire BUENA en el área hoy con posible humo MODERADO en el área al final de la tarde.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continuará.","La calidad del aire BUENO continuará con vientos del suroeste."
"Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"Periodic haze possible with conditions into MODERATE","Smoke increasing in the evening hours.","Smoke most of the day.","	Rain will clear-out any remaining smoke over the weekend.","Posible neblina periódica con condiciones MODERADAS","El humo aumentará en las horas de la tarde.","Humo durante la mayor parte del día.","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Some haze possible","Some haze possible","","Rain will clear-out any remaining smoke over the weekend. ","Posible presencia de bruma.","Posible presencia de bruma.","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"GOOD air quality in the morning, smoke settling into the valley starting in the evening.","GOOD air quality in the morning, smoke settling into the valley starting in the evening.","Smoke lifting as the morning progresses.","","Calidad del aire BUENA en la mañana, humo asentándose en el valle desde el anochecer.","Calidad del aire BUENA por la mañana, humo asentándose en el valle desde el anochecer.","El humo se disipa a medida que avance la mañana.",""
"Some haze possible","","","	Rain will clear-out any remaining smoke over the weekend.","Posible presencia de bruma","","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Smoke to clear out by early afternoon, returning in the evening","Smoke to clear out by early afternoon, returning in the evening","Lingering smoke in the morning, clearing by afternoon.","Rain will clear-out any remaining smoke over the weekend.","El humo se disipará a principios de la tarde, regresando en la noche.","El humo se disipará a principios de la tarde, regresando al anochecer.","Humo persistente en la mañana, despejándose por la tarde.","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Smoke increasing in the evening hours and remaining through most of tomorrow.","","","Rain will clear-out any remaining smoke over the weekend.","El humo aumentará durante las horas de la tarde y permanecerá durante la mayor parte del día de mañana.","","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","Calidad del aire BUENO en general para continuar hoy.","Calidad del aire generalmente BUENA hoy.","Calidad del aire BUENO en el área con aumento de viento y lluvia.","Se desarrollarán tormentas eléctricas en la zona durante todo el fin de semana."
"GOOD air quality to continue with rain and thunderstorms in the area.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENO continuará con lluvia y tormentas en la zona.","Calidad del aire BUENO en el área hoy.","Calidad del aire BUENO con tormentas eléctricas moviéndose hacia la zona.","La calidad del aire BUENO continuará en la zona."
"Smoke will settle into Horton and Tonto Creek drainages with overnight and early morning periods of smoke.","Smoke will settle in the area during the evening due to the cold temperatures and light winds.","Smoke will continue in the area until 10:00 clearing with SW-W winds 5-10mph.","With any increase in fire activity, we will continue to see smoke settling in the drainages in the evening, clearing by mid-morning.","El humo se asentará en las cuencas de Horton y Tonto Creek durante los períodos nocturnos y de la madrugada.","El humo se asentará en el área durante la tarde debido a las bajas temperaturas y los vientos ligeros.","El humo continuará en el área hasta las 10:00, despejándose con vientos del SO-O de 5-10 mph.","Con cualquier aumento en la actividad de incendios, continuaremos viendo humo asentándose en los drenajes por la noche, despejándose a media mañana."
"GOOD air quality with SW-W winds today 5-10 mph increasing to 10-20 mph in thew afternoon.","GOOD air quality today.","GOOD air quality today with southwest-west winds.","Any increase in fire activity we will see possible periods of smoke in the area.","Calidad del aire BUENA con vientos de SW-W hoy de 5-10 mph aumentando a 10-20 mph en la tarde.","Calidad del aire BUENO hoy.","Calidad del aire BUENO hoy con vientos de suroeste a oeste.","Cualquier aumento en la actividad de incendios podría resultar en períodos de humo en la zona."
"Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde."
"Light to moderate smoke overnight from local activity (fireplaces, firepits, etc.) ","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Humo ligero a moderado durante la noche debido a actividades locales (chimeneas, fogatas, etc.)","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"Light to moderate smoke overnight from local activity (fireplaces, firepits, etc.)","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Humo ligero a moderado durante la noche debido a actividades locales (chimeneas, fogatas, etc.)","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"GOOD air quality today with north winds.","GOOD air quality in the area.","GOOD air quality to continue in the area.","GOOD air quality with continued northwest winds.","Calidad del aire BUENO hoy con vientos del norte.","Calidad del aire BUENO en el área.","La calidad del aire BUENO continuará en la zona.","Calidad del aire BUENO con vientos continuos del noroeste."
"GOOD air quality in the area today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with N/NE winds.","Calidad del aire BUENO en el área hoy.","La calidad del aire BUENO continuará hoy.","Calidad del aire BUENA hoy con vientos del norte-noreste.","Calidad del aire BUENO en el área con vientos N/NE."
"GOOD air quality in the area to continue. Thunderstorms and rain in the area,","GOOD air quality in the area.","GOOD air quality in the area today.","Thunderstorms to continue through the weekend.","La calidad del aire BUENA en el área continuará. Tormentas eléctricas y lluvia en el área.","Calidad del aire BUENA en el área.","Calidad del aire BUENA en el área hoy.","Las tormentas continuarán durante el fin de semana."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","La calidad del aire BUENA en general continuará hoy.","Calidad del aire generalmente BUENA hoy.","Calidad del aire BUENA en el área con el aumento de el viento y la lluvia.","Se desarrollarán tormentas eléctricas en el área durante todo el fin de semana."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero a medida que los vientos del SE y las nubes se mueven hacia el área.","Calidad del aire BUENA en el área.","Calidad del aire BUENA en el área.","La calidad del aire BUENA continuará a medida que las tormentas eléctricas lleguen a la zona durante el fin de semana."
"GOOD air quality continues today with rain in the area","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENA continúa hoy con lluvia en el área.","Calidad del aire BUENA hoy.","Calidad del aire BUENA hoy.","La calidad del aire BUENA continuará en el área."
"GOOD air quality to continue with rain and thunderstorms in the area.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENA continuará con la lluvia y las tormentas en el área.","Calidad del aire BUENA en el área hoy.","Calidad del aire BUENA con tormentas eléctricas moviéndose hacia el área.","La calidad del aire BUENA continuará en el área."
"GOOD air quality in the area to continue. Thunderstorms and rain in the area,","GOOD air quality in the area.","GOOD air quality in the area today.","Thunderstorms to continue through the weekend.","La calidad del aire BUENA en el área continuará. Tormentas eléctricas y lluvia en el área.","Calidad del aire BUENA en el área.","Calidad del aire BUENA en el área hoy.","Las tormentas continuarán durante el fin de semana."
"GOOD air quality continues today with rain in the area","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENA continúa hoy con lluvia en el área.","Calidad del aire BUENA hoy.","Calidad del aire BUENA hoy.","La calidad del aire BUENA continuará en el área."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","La calidad del aire BUENA en general continuará hoy.","Calidad del aire generalmente BUENA hoy.","Calidad del aire BUENA en el área con el aumento de el viento y la lluvia.","Se desarrollarán tormentas eléctricas en el área durante todo el fin de semana."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero a medida que los vientos del SE y las nubes se mueven hacia el área.","Calidad del aire BUENA en el área.","Calidad del aire BUENA en el área.","La calidad del aire BUENA continuará a medida que las tormentas eléctricas lleguen a la zona durante el fin de semana."
"GOOD air quality to continue with rain and thunderstorms in the area.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENA continuará con la lluvia y las tormentas en el área.","Calidad del aire BUENA en el área hoy.","Calidad del aire BUENA con tormentas eléctricas moviéndose hacia el área.","La calidad del aire BUENA continuará en el área."
"Periodic haze possible with conditions into MODERATE","Smoke increasing in the evening hours.","Smoke increasing in the evening hours.","","Posible neblina periódica con condiciones hasta MODERADA.","El humo aumenta en las horas de la tarde.","El humo aumenta en las horas de la tarde.",""
"Some haze possible","","","	Rain will clear-out any remaining smoke over the weekend.","Posible neblina","","","La lluvia eliminará cualquier humo restante durante el fin de semana."
"Lingering smoke in the morning, some clearing by afternoon.","","","","Humo persistente por la mañana, algo de despeje por la tarde.","","",""
"GOOD air quality in the morning, some smoke settling into the valley starting in the evening south of Bishop.","GOOD air quality in the morning, smoke settling into the valley starting in the evening.","Smoke lifting as the morning progresses.","","Calidad del aire BUENO por la mañana, algo de humo se asentará en el valle comenzando por la tarde al sur de Bishop.","Calidad del aire BUENO por la mañana, humo asentándose en el valle a partir de la tarde.","El humo se disipa a medida que avanza la mañana.",""
"Some haze possible during day, smoke possible overnight","Some haze possible during day, smoke possible overnight","","","Es posible algo de bruma durante el día, humo posible durante la noche.","Posible neblina durante el día, humo posible durante la noche.","",""
"Lingering smoke in the morning, some clearing by afternoon.","","Lingering smoke in the morning, some clearing by afternoon.","Smoke will diminish with each passing day.","Humo persistente en la mañana, algo de despeje por la tarde.","","Humo persistente en la mañana, algo de despeje por la tarde.","El humo disminuirá con cada día que pase."
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"Possible periods of light smoke in the area as southeast winds and clouds move into the area.","GOOD air quality in the area.","GOOD air quality in the area.","GOOD air quality to continue as thunderstorms move into the area for the weekend.","Posibles períodos de humo ligero en el área a medida que los vientos del sureste y las nubes se mueven hacia el área.","Calidad del aire BUENO en la zona.","Calidad del aire BUENO en la zona.","La calidad del aire BUENO continuará a medida que las tormentas se desplacen hacia la zona durante el fin de semana."
"GOOD air quality in the area to continue. Thunderstorms and rain in the area,","GOOD air quality in the area.","GOOD air quality in the area today.","Thunderstorms to continue through the weekend.","La calidad del aire BUENO en el área continuará. Tormentas eléctricas y lluvia en el área,","Calidad del aire BUENO en el área.","Calidad del aire BUENO en la zona hoy.","Las tormentas continuarán durante el fin de semana."
"GOOD overall air quality today to continue.","Overall GOOD air quality today.","GOOD air quality in the area with wind and rain to increase.","Thunderstorms to develop in the area throughout the weekend.","BUENO calidad del aire en general hoy continuará.","Calidad del aire BUENO en general hoy.","Calidad del aire BUENA en la zona con aumento de viento y lluvia.","Se desarrollarán tormentas eléctricas en el área durante todo el fin de semana."
"GOOD air quality to continue with rain and thunderstorms in the area.","GOOD air quality in the area today.","GOOD air quality with thunderstorms moving into the area.","GOOD air quality to continue in the area. ","La calidad del aire BUENO continuará con lluvia y tormentas en la zona.","Calidad del aire BUENO en la zona hoy.","Calidad del aire BUENO con tormentas eléctricas llegando a la zona.","La calidad del aire BUENO continuará en la zona."
"GOOD air quality continues today with rain in the area","GOOD air quality today.","GOOD air quality today.","GOOD air quality to continue in the area.","La calidad del aire BUENO continúa hoy con lluvia en la zona.","Calidad del aire BUENO hoy.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continuará en la zona."
"GOOD air quality","","","","Calidad del aire BUENA","","",""
"GOOD air quality","","","","Calidad del aire BUENO","","",""
"Periodic haze possible with conditions into MODERATE","Smoke increasing in the evening hours.","Smoke increasing in the evening hours.","","Posible neblina periódica con condiciones MODERADA","El humo aumenta durante las horas de la tarde.","El humo aumenta durante las horas de la tarde.",""
"GOOD air quality ","","","","Calidad del aire BUENA","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality in the area today with possible MODERATE smoke in the area late evening.","GOOD air quality Today.","GOOD air quality to continue.","GOOD air quality to continue with southwest winds.","BUENA calidad del aire en el área hoy con posible humo MODERADO en el área al anochecer.","BUENA calidad del aire hoy.","La calidad del aire BUENA continuará.","La calidad del aire BUENA continuará con vientos del suroeste."
"GOOD air quality with SW-W winds today 5-10 mph increasing to 10-20 mph in thew afternoon.","GOOD air quality today.","GOOD air quality today with southwest-west winds.","Any increase in fire activity we will see possible periods of smoke in the area.","BUENA calidad del aire con vientos de Suroeste-Oeste hoy de 5-10 mph aumentando a 10-20 mph en la tarde.","BUENA calidad del aire hoy.","BUENA calidad del aire hoy con vientos de suroeste a oeste.","Cualquier aumento en la actividad de fuego podría resultar en períodos de humo en el área."
"GOOD air quality will continue today with SW winds.","GOOD air quality today.","GOOD air quality continues today.","GOOD air quality to continue with southwest winds.","La calidad del aire BUENA continuará hoy con vientos del Suroeste.","BUENA calidad del aire hoy.","La calidad del aire BUENA continuará hoy.","La calidad del aire BUENA continuará con vientos del suroeste."
"Periodic haze possible with conditions into MODERATE","Smoke increasing in the evening hours.","Smoke increasing in the evening hours.","","Posible bruma periódica con condiciones MODERADAS","El humo aumentará durante las horas de la tarde.","El humo aumentará durante las horas de la tarde.",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality ","","","","Calidad del aire BUENA","","",""
"GOOD air quality","","","","Calidad del aire BUENA","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seque."
"GOOD air quality","","","","Calidad del aire BUENA","","",""
"Periodic haze possible with occasional hours in MODERATE","","","","Posible neblina periódica con horas ocasionales en MODERADA","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENA, sin impactos del Incendio Happy.","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"GOOD air quality","","","","Calidad del aire BUENO","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Happy Fire.","","",""
"Periodic haze possible with occasional hours in MODERATE","","","","Posible bruma periódica con horas ocasionales en MODERADO","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seque."
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENO para el futuro previsible.","","",""
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"GOOD air quality today due to north winds.","","","","Calidad del aire BUENO hoy debido a los vientos del norte.","","",""
"Isolated pockets of light smoke lifting out by 10:00 a.m.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke possible in the early morning and at night.","Isolated pockets of light smoke in the morning and at night.","Bolsas aisladas de humo ligero que se disipan a las 10:00 a.m.","Bolsas aisladas de humo ligero en la madrugada y esta noche.","Posibles bolsas aisladas de humo ligero en la madrugada y por la noche.","Bolsas aisladas de humo ligero por la mañana y por la noche."
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENA, sin impactos del Incendio Happy.","","",""
"GOOD air quality","","","","Calidad del aire BUENA","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENA, sin impactos del Incendio Happy.","","",""
"Smoke will settle into Horton and Tonto Creek drainages with overnight and early morning periods of smoke.","Smoke will settle in the area during the evening due to the cold temperatures and light winds.","Smoke will continue in the area until 10:00 clearing with SW-W winds 5-10mph.","With any increase in fire activity, we will continue to see smoke settling in the drainages in the evening, clearing by mid-morning.","El humo se asentará en los drenajes de Horton y Tonto Creek con períodos de humo durante la noche y de la madrugada.","El humo se asentará en el área al anochecer debido a las bajas temperaturas y los vientos ligeros.","El humo continuará en el área hasta las 10:00, despejándose con vientos del Suroeste-Oeste de 5-10 mph.","Con cualquier aumento en la actividad de fuego, continuaremos viendo humo asentándose en los drenajes al anochecer, despejándose a media mañana."
"Overnight into early morning we may see smoke impacts to Christopher Creek area.","GOOD air Quality during the day with S-SW winds 5-10 in the afternoon.","GOOD air quality today.","With increased fire activity we may see impacts of smoke late evening into early morning in the area.","Durante la noche hasta la madrugada, podríamos ver impactos de humo en el área de Christopher Creek.","BUENA calidad del aire durante el día con vientos Sur-Suroeste de 5-10 por la tarde.","BUENA calidad del aire hoy.","Con el aumento de la actividad de incendios, podríamos ver impactos del humo desde la tarde hasta la mañana temprano en el área."
"Light smoke possible in the morning hours.","Light smoke possible in the morning hours.","Light smoke possible in the morning hours.","Light smoke possible in the morning hours.","Posible presencia de humo ligero en las horas de la mañana.","Posible presencia de humo ligero en las horas de la mañana.","Posible presencia de humo ligero en las horas de la mañana.","Posible presencia de humo ligero en las horas de la mañana."
"Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde.","Posible presencia de humo ligero en el cielo por la tarde."
